id	route	sectie	volgorde	type	tekst	bronsoort	bron	copy_marker
_global.navbar.4	_global	navbar	4	label	Aanbod	code	src/lib/constants.ts:62	COPY: confirm met Marlon
_global.navbar.5	_global	navbar	5	label	Prijzen	code	src/lib/constants.ts:63	COPY: confirm met Marlon
_global.navbar.6	_global	navbar	6	label	Early Member	code	src/lib/constants.ts:64	COPY: confirm met Marlon
_global.navbar.7	_global	navbar	7	label	Over ons	code	src/lib/constants.ts:65	COPY: confirm met Marlon
_global.navbar.8	_global	navbar	8	label	Word lid	code	src/components/layout/Navbar.tsx:83	COPY: confirm met Marlon
_global.navbar.9	_global	navbar-aanbod-dropdown	9	label	Groepslessen	code	src/lib/constants.ts:84	COPY: confirm met Marlon
_global.navbar.10	_global	navbar-aanbod-dropdown	10	microcopy	yoga, mobility, kettlebell	code	src/lib/constants.ts:86	COPY: confirm met Marlon
_global.navbar.11	_global	navbar-aanbod-dropdown	11	label	Yoga	code	src/lib/constants.ts:88	COPY: confirm met Marlon
_global.navbar.12	_global	navbar-aanbod-dropdown	12	label	Vrij trainen	code	src/lib/constants.ts:89	COPY: confirm met Marlon
_global.navbar.13	_global	navbar-aanbod-dropdown	13	label	All Access	code	src/lib/constants.ts:90	COPY: confirm met Marlon
_global.navbar.14	_global	navbar-aanbod-dropdown	14	label	Personal Training & Duo	code	src/lib/constants.ts:92	COPY: confirm met Marlon
_global.navbar.15	_global	navbar-aanbod-dropdown	15	label	12-weken programma	code	src/lib/constants.ts:95	COPY: confirm met Marlon
_global.navbar.16	_global	navbar	16	label	Inloggen	code	src/components/layout/Navbar.tsx:80	COPY: confirm met Marlon
_global.navbar.17	_global	navbar	17	cta	Plan je proefles	code	src/components/layout/Navbar.tsx:189	
_global.navbar.18	_global	navbar	18	microcopy	Sluit menu	code	src/components/layout/Navbar.tsx:196	
_global.navbar.19	_global	navbar	19	microcopy	Open menu	code	src/components/layout/Navbar.tsx:196	
_global.footer.1	_global	footer	1	label	The Movement Club	code	src/components/layout/Footer.tsx:25-26	
_global.footer.2	_global	footer	2	body	Boutique training studio in {settings.address.city}. Kleine groepen, echte coaching, patronen die blijven.	code	src/components/layout/Footer.tsx:29-30	
_global.footer.3	_global	footer	3	label	Navigatie	code	src/components/layout/Footer.tsx:37	
_global.footer.4	_global	footer	4	label	Home	code	src/lib/constants.ts:71	COPY: confirm met Marlon
_global.footer.5	_global	footer	5	label	Contact	code	src/lib/constants.ts:73	COPY: confirm met Marlon
_global.footer.6	_global	footer	6	cta	Plan je proefles	code	src/components/layout/Footer.tsx:46	
_global.footer.7	_global	footer	7	label	Gratis starten	code	src/components/layout/Footer.tsx:53	
_global.footer.8	_global	footer	8	label	Beweeg Beter guide	code	src/components/layout/Footer.tsx:57	
_global.footer.9	_global	footer	9	label	7-Dagen Mobility Reset	code	src/components/layout/Footer.tsx:60-62	
_global.footer.10	_global	footer	10	label	Gratis Mobility Check	code	src/components/layout/Footer.tsx:65-67	
_global.footer.11	_global	footer	11	label	Ook van Marlon	code	src/components/layout/Footer.tsx:74	
_global.footer.12	_global	footer	12	label	Hormoonprofiel.com	code	src/components/layout/Footer.tsx:77	
_global.footer.13	_global	footer	13	label	Contact	code	src/components/layout/Footer.tsx:84	
_global.footer.14	_global	footer	14	label	Instagram	code	src/components/layout/Footer.tsx:105	
_global.footer.15	_global	footer	15	microcopy	© {jaar} {settings.studioName}. Alle rechten voorbehouden.	code	src/components/layout/Footer.tsx:114-115	
_global.footer.16	_global	footer	16	label	Privacyverklaring	code	src/components/layout/Footer.tsx:118	
_global.footer.17	_global	footer	17	microcopy	KvK {settings.kvkNumber} · BTW {settings.btwNumber}	code	src/components/layout/Footer.tsx:120	
_global.infooptin.1	_global	info-optin-banner	1	body	Bedankt, we houden je op de hoogte.	code	src/components/blocks/InfoOptInBanner.tsx:105	COPY: confirm met Marlon
_global.infooptin.2	_global	info-optin-banner	2	label	Blijf op de hoogte	code	src/components/blocks/InfoOptInBanner.tsx:111	COPY: confirm met Marlon
_global.infooptin.3	_global	info-optin-banner	3	body	Laat je e-mailadres achter en we houden je op de hoogte.	code	src/components/blocks/InfoOptInBanner.tsx:115	COPY: confirm met Marlon
_global.infooptin.4	_global	info-optin-banner	4	label	Voornaam	code	src/components/blocks/InfoOptInBanner.tsx:122	
_global.infooptin.5	_global	info-optin-banner	5	label	E-mailadres	code	src/components/blocks/InfoOptInBanner.tsx:131	
_global.infooptin.6	_global	info-optin-banner	6	cta	Versturen	code	src/components/blocks/InfoOptInBanner.tsx:145	COPY: confirm met Marlon
_global.infooptin.7	_global	info-optin-banner	7	cta	Aanmelden	code	src/components/blocks/InfoOptInBanner.tsx:145	COPY: confirm met Marlon
_global.infooptin.8	_global	info-optin-banner	8	microcopy	Sluiten	code	src/components/blocks/InfoOptInBanner.tsx:98	
_global.footercta.1	_global	footer-cta	1	body	Gratis: Beweeg Beter Guide	code	src/components/blocks/FooterCTA.tsx:11	
_global.footercta.2	_global	footer-cta	2	body	5 dagelijkse oefeningen voor meer mobiliteit en kracht	code	src/components/blocks/FooterCTA.tsx:14	
_global.footercta.3	_global	footer-cta	3	cta	Download gratis	code	src/components/blocks/FooterCTA.tsx:18	
_global.cookieconsent.1	_global	cookie-consent	1	body	Wij gebruiken cookies	code	src/components/layout/CookieConsent.tsx:40	
_global.cookieconsent.2	_global	cookie-consent	2	body	We gebruiken analytische cookies om onze website te verbeteren. Geen advertentiecookies, geen tracking door derden.	code	src/components/layout/CookieConsent.tsx:43-44	
_global.cookieconsent.3	_global	cookie-consent	3	cta	Accepteren	code	src/components/layout/CookieConsent.tsx:48	
_global.cookieconsent.4	_global	cookie-consent	4	cta	Weigeren	code	src/components/layout/CookieConsent.tsx:51	
home.hero.1	/	hero	1	microcopy	Boutique training studio · {settings.address.city}	code	src/components/blocks/Hero.tsx:97	
home.hero.2	/	hero	2	h1	{settings.tagline met accentwoord uit settings.taglineAccent}	sanity	siteSettings.tagline / siteSettings.taglineAccent	
home.hero.3	/	hero	3	body	Boutique training studio in {settings.address.city}. Kleine groepen, echte coaching, patronen die blijven.	code	src/components/blocks/Hero.tsx:111-112	
home.hero.4	/	hero	4	cta	Plan je proefles	code	src/components/blocks/Hero.tsx:119	
home.hero.5	/	hero	5	cta	Download de guide	code	src/components/blocks/Hero.tsx:120-121	
home.hero.6	/	hero	6	alt	The Movement Club studio	code	src/components/blocks/Hero.tsx:75	
home.philosophy.1	/	philosophy-grid	1	label	Onze filosofie	code	src/components/blocks/PhilosophyGrid.tsx:18	
home.philosophy.2	/	philosophy-grid	2	h2	Drie pijlers. Eén visie.	code	src/components/blocks/PhilosophyGrid.tsx:19	
home.philosophy.3	/	philosophy-grid	3	body	Elke training bij The Movement Club is gebouwd op deze drie fundamenten.	code	src/components/blocks/PhilosophyGrid.tsx:20	
home.philosophy.4	/	philosophy-grid	4	h3	Movement	code	src/lib/constants.ts:100	
home.philosophy.5	/	philosophy-grid	5	body	Functionele bewegingspatronen die je lichaam weer laten doen waarvoor het gemaakt is.	code	src/lib/constants.ts:101-102	
home.philosophy.6	/	philosophy-grid	6	h3	Mobility	code	src/lib/constants.ts:105	
home.philosophy.7	/	philosophy-grid	7	body	Flexibiliteit en mobiliteit als fundament voor een sterk en gezond lichaam.	code	src/lib/constants.ts:106-107	
home.philosophy.8	/	philosophy-grid	8	h3	Strength	code	src/lib/constants.ts:110	
home.philosophy.9	/	philosophy-grid	9	body	Kracht opbouwen met precisie, techniek en een programma dat bij jou past.	code	src/lib/constants.ts:111-112	
home.scheduleteaser.1	/	schedule-teaser	1	label	Komend op het rooster	code	src/components/blocks/ScheduleTeaser.tsx:218-219	
home.scheduleteaser.2	/	schedule-teaser	2	h2	Wat staat er klaar.	code	src/components/blocks/ScheduleTeaser.tsx:221-222	
home.scheduleteaser.3	/	schedule-teaser	3	body	Momenteel staan er geen sessies gepland. Kijk straks terug of bekijk het rooster in Sanity.	code	src/components/blocks/ScheduleTeaser.tsx:136-137	
home.scheduleteaser.4	/	schedule-teaser	4	microcopy	Vandaag	code	src/components/blocks/ScheduleTeaser.tsx:147	
home.scheduleteaser.5	/	schedule-teaser	5	microcopy	Vandaag geen sessies. Morgen om {tijd} weer van start.	code	src/components/blocks/ScheduleTeaser.tsx:150-152	
home.scheduleteaser.6	/	schedule-teaser	6	microcopy	Vol	code	src/components/blocks/ScheduleTeaser.tsx:192	
home.scheduleteaser.7	/	schedule-teaser	7	microcopy	{n} plekken	code	src/components/blocks/ScheduleTeaser.tsx:192	
home.scheduleteaser.8	/	schedule-teaser	8	cta	Bekijk het volledige rooster	code	src/components/blocks/ScheduleTeaser.tsx:227-229 (exacte tekst niet volledig zichtbaar in laatst gelezen fragment, zie regel 226-229)	
home.scheduleteaser.9	/	schedule-teaser	9	body	{class_type.name} (lessessie)	database	tmc.class_sessions via class_types.name	
home.scheduleteaser.10	/	schedule-teaser	10	label	Vrij trainen	code	src/lib/member/plan-coverage.ts (PILLAR_LABELS.vrij_trainen)	
home.scheduleteaser.11	/	schedule-teaser	11	label	Yoga & mobility	code	src/lib/member/plan-coverage.ts (PILLAR_LABELS.yoga_mobility)	
home.scheduleteaser.12	/	schedule-teaser	12	label	Kettlebell	code	src/lib/member/plan-coverage.ts (PILLAR_LABELS.kettlebell)	
home.studiosection.1	/	studio-section	1	microcopy	01 · De studio	code	src/components/blocks/StudioSection.tsx:50-51	
home.studiosection.2	/	studio-section	2	h2	160m² puur voor jouw training	code	src/components/blocks/StudioSection.tsx:53	
home.studiosection.3	/	studio-section	3	body	Geen drukte, geen wachtrijen, geen anonimiteit. The Movement Club is bewust kleinschalig, zodat elke training voelt alsof de studio er alleen voor jou is.	code	src/components/blocks/StudioSection.tsx:57-59	
home.studiosection.4	/	studio-section	4	body	Met high-end apparatuur, doordachte verlichting en een sfeer die je nergens anders vindt, is onze studio ontworpen om het beste uit jezelf te halen. Elke vierkante meter is ingericht met oog voor functionaliteit én beleving.	code	src/components/blocks/StudioSection.tsx:61-65	
home.studiosection.5	/	studio-section	5	cta	Meer over onze studio	code	src/components/blocks/StudioSection.tsx:69-71	
home.studiosection.6	/	studio-section	6	alt	The Movement Club studio interieur	code	src/components/blocks/StudioSection.tsx:32	
home.studiosection.7	/	studio-section	7	microcopy	Studio foto	code	src/components/blocks/StudioSection.tsx:41	
home.trainerspotlight.1	/	trainer-spotlight	1	microcopy	02 · {trainer.role}	code	src/components/blocks/TrainerSpotlight.tsx:28	
home.trainerspotlight.2	/	trainer-spotlight	2	h2	Maak kennis met {trainer.name}	code	src/components/blocks/TrainerSpotlight.tsx:30-31	
home.trainerspotlight.3	/	trainer-spotlight	3	body	head_trainer (rol-code, niet gerenderd label)	sanity	trainer-marlon.role	
home.trainerspotlight.4	/	trainer-spotlight	4	body	Ik ben Marlon, oprichter en head trainer van The Movement Club. Al jaren trainer, nog steeds elke dag lerend. Ik begon zelf te trainen om terug te komen van blessures en ontdekte dat ik pas écht lenig werd toen ik leerde tillen. Dat inzicht, dat sterk zijn en soepel zijn hetzelfde dier is, is het fundament van alles wat ik hier doe.	sanity	trainer-marlon.bio	
home.trainerspotlight.5	/	trainer-spotlight	5	body	Ik geloof dat iedereen een atleet is. Het gaat er niet om hoe zwaar je tilt, maar hoe goed je beweegt.	sanity	trainer-marlon.quote	
home.trainerspotlight.6	/	trainer-spotlight	6	alt	Portret Marlon	code	src/components/blocks/TrainerSpotlight.tsx:76 (template "Portret {trainer.name}")	
home.offeringcards.1	/	offering-cards	1	label	Het aanbod	code	src/components/blocks/OfferingCards.tsx:23	
home.offeringcards.2	/	offering-cards	2	h2	Training die bij jou past	code	src/components/blocks/OfferingCards.tsx:24	
home.offeringcards.3	/	offering-cards	3	body	Of je nu kiest voor persoonlijke begeleiding of de energie van een kleine groep. Elke sessie is doordacht en op maat.	code	src/components/blocks/OfferingCards.tsx:25	
home.offeringcards.4	/	offering-cards	4	h3	Personal Training	sanity	offering-personal-training.title	
home.offeringcards.5	/	offering-cards	5	body	Eén-op-één, volledig op maat	sanity	offering-personal-training.subtitle	
home.offeringcards.6	/	offering-cards	6	h3	Small Group Training	sanity	offering-small-group.title	
home.offeringcards.7	/	offering-cards	7	body	Maximaal 6 personen	sanity	offering-small-group.subtitle	
home.offeringcards.8	/	offering-cards	8	h3	Mobility Sessions	sanity	offering-mobility.title	
home.offeringcards.9	/	offering-cards	9	body	Het fundament van goed bewegen	sanity	offering-mobility.subtitle	
home.offeringcards.10	/	offering-cards	10	h3	Strength Programs	sanity	offering-strength.title	
home.offeringcards.11	/	offering-cards	11	body	Gestructureerd sterker worden	sanity	offering-strength.subtitle	
home.offeringcards.12	/	offering-cards	12	cta	Meer info	code	src/components/blocks/OfferingCards.tsx:62	
home.offeringcards.13	/	offering-cards	13	alt	{offering.title} — The Movement Club	code	src/components/blocks/OfferingCards.tsx:37	
home.yogateaser.1	/	yoga-teaser	1	label	Yoga · Loosdrecht & regio Hilversum	code	src/components/blocks/YogaTeaser.tsx:15	
home.yogateaser.2	/	yoga-teaser	2	h2	Ook yoga, van diepe rust tot dynamische flow.	code	src/components/blocks/YogaTeaser.tsx:18	
home.yogateaser.3	/	yoga-teaser	3	body	Naast personal training en kracht vind je bij The Movement Club ook yoga. Yin, Restorative, Yoga Nidra, iRest en Flow, in kleine, persoonlijke lessen. Onze studio in Loosdrecht ligt op zo'n tien minuten van Hilversum en is goed bereikbaar vanuit het hele Gooi.	code	src/components/blocks/YogaTeaser.tsx:21-24	
home.yogateaser.4	/	yoga-teaser	4	cta	Ontdek yoga in Loosdrecht	code	src/components/blocks/YogaTeaser.tsx:27	
home.yogateaser.5	/	yoga-teaser	5	cta	Bekijk het yogarooster	code	src/components/blocks/YogaTeaser.tsx:28	
home.pricingtable.1	/	pricing-table	1	label	Lidmaatschap	code	src/components/blocks/PricingTable.tsx:32	
home.pricingtable.2	/	pricing-table	2	h2	Investeer in jezelf	code	src/components/blocks/PricingTable.tsx:33	
home.pricingtable.3	/	pricing-table	3	body	Kies het traject dat past bij jouw doelen en levensstijl.	code	src/components/blocks/PricingTable.tsx:34	
home.pricingtable.4	/	pricing-table	4	microcopy	Meest gekozen	code	src/components/blocks/PricingTable.tsx:49	
home.pricingtable.5	/	pricing-table	5	h3	Groepslessen Onbeperkt	code	src/app/page.tsx:31 (fallback-naam; live naam/prijs komt uit tmc.catalogue)	COPY: confirm met Marlon
home.pricingtable.6	/	pricing-table	6	body	Onbeperkt groepslessen	code	src/app/page.tsx:34	COPY: confirm met Marlon
home.pricingtable.7	/	pricing-table	7	body	Yoga, mobility en kettlebell, mix zoals jij wilt	code	src/app/page.tsx:34	COPY: confirm met Marlon
home.pricingtable.8	/	pricing-table	8	h3	Vrij Trainen Onbeperkt	code	src/app/page.tsx:41 (fallback-naam)	COPY: confirm met Marlon
home.pricingtable.9	/	pricing-table	9	body	Onbeperkt vrij trainen	code	src/app/page.tsx:44	COPY: confirm met Marlon
home.pricingtable.10	/	pricing-table	10	body	Toegang tot alle equipment	code	src/app/page.tsx:44	COPY: confirm met Marlon
home.pricingtable.11	/	pricing-table	11	h3	All Access Onbeperkt	code	src/app/page.tsx:50 (fallback-naam)	COPY: confirm met Marlon
home.pricingtable.12	/	pricing-table	12	body	Onbeperkt alle lessen	code	src/app/page.tsx:54	COPY: confirm met Marlon
home.pricingtable.13	/	pricing-table	13	body	Vrij trainen inbegrepen	code	src/app/page.tsx:54	COPY: confirm met Marlon
home.pricingtable.14	/	pricing-table	14	body	Yoga, mobility, kettlebell	code	src/app/page.tsx:54	COPY: confirm met Marlon
home.pricingtable.15	/	pricing-table	15	cta	Bekijk alle tarieven	code	src/app/page.tsx:35,45,55	COPY: confirm met Marlon
home.pricingtable.16	/	pricing-table	16	prijs-dynamisch	{display_name}	database	tmc.catalogue.display_name (_id groepslessen_unl/vrij_trainen_unl/all_inclusive_unl)	
home.pricingtable.17	/	pricing-table	17	prijs-dynamisch	{formatPriceEuro(price_cents)} / 4 weken	database	tmc.catalogue.price_cents (zelfde drie rijen)	
home.testimonials.1	/	testimonial-carousel	1	label	Reviews	code	src/components/blocks/TestimonialCarousel.tsx:81	
home.testimonials.2	/	testimonial-carousel	2	h2	Wat onze leden zeggen	code	src/components/blocks/TestimonialCarousel.tsx:82	
home.testimonials.3	/	testimonial-carousel	3	body	Beoordeeld op Google, voorheen onder de naam PT Loosdrecht.	code	src/components/blocks/TestimonialCarousel.tsx:83	
home.testimonials.4	/	testimonial-carousel	4	microcopy	Google reviews van onze leden	code	src/components/blocks/TestimonialCarousel.tsx:89	
home.testimonials.5	/	testimonial-carousel	5	microcopy	Volgende review	code	src/components/blocks/TestimonialCarousel.tsx:58	
home.testimonials.6	/	testimonial-carousel	6	microcopy	Vorige review	code	src/components/blocks/TestimonialCarousel.tsx:60	
home.testimonials.7	/	testimonial-carousel	7	microcopy	Carousel navigatie	code	src/components/blocks/TestimonialCarousel.tsx:62	
home.testimonials.8	/	testimonial-carousel	8	cta	Bekijk alle reviews op Google	code	src/components/blocks/TestimonialCarousel.tsx:117	
home.contactsection.1	/	contact-section	1	label	Locatie · Contact	code	src/components/blocks/ContactSection.tsx:24	
home.contactsection.2	/	contact-section	2	h2	Kom langs	code	src/components/blocks/ContactSection.tsx:25	
home.contactsection.3	/	contact-section	3	body	We verwelkomen je graag in onze studio aan de {settings.address.street} in {settings.address.city}.	code	src/components/blocks/ContactSection.tsx:26	
home.contactsection.4	/	contact-section	4	microcopy	The Movement Club locatie	code	src/components/blocks/ContactSection.tsx:39	
home.contactsection.5	/	contact-section	5	label	Adres	code	src/components/blocks/ContactSection.tsx:47	
home.contactsection.6	/	contact-section	6	label	Openingstijden	code	src/components/blocks/ContactSection.tsx:56	
home.contactsection.7	/	contact-section	7	microcopy	Gesloten	code	src/components/blocks/ContactSection.tsx:60	
home.contactsection.8	/	contact-section	8	label	Direct contact	code	src/components/blocks/ContactSection.tsx:70	
home.contactsection.9	/	contact-section	9	body	Stuur ons een bericht via WhatsApp, of mail naar {email}.	code	src/components/blocks/ContactSection.tsx:71-79	
home.contactsection.10	/	contact-section	10	cta	WhatsApp ons	code	src/components/blocks/ContactSection.tsx:82	
home.contactsection.11	/	contact-section	11	cta	Naar contactpagina	code	src/components/blocks/ContactSection.tsx:88	
home.contactsection.12	/	contact-section	12	body	Maandag	sanity	openingHours.schedule[0].day	
home.contactsection.13	/	contact-section	13	body	Dinsdag	sanity	openingHours.schedule[1].day	
home.contactsection.14	/	contact-section	14	body	Woensdag	sanity	openingHours.schedule[2].day	
home.contactsection.15	/	contact-section	15	body	Donderdag	sanity	openingHours.schedule[3].day	
home.contactsection.16	/	contact-section	16	body	Vrijdag	sanity	openingHours.schedule[4].day	
home.contactsection.17	/	contact-section	17	body	Zaterdag	sanity	openingHours.schedule[5].day	
home.contactsection.18	/	contact-section	18	body	Zondag	sanity	openingHours.schedule[6].day	
aanbod.header.1	/aanbod	header	1	label	Ons aanbod	code	src/app/aanbod/AanbodContent.tsx:131	
aanbod.header.2	/aanbod	header	2	h1	Trainingen op maat	code	src/app/aanbod/AanbodContent.tsx:133	COPY: confirm met Marlon
aanbod.header.3	/aanbod	header	3	body	Elke trainingsvorm bij The Movement Club is ontworpen met hetzelfde doel: jou helpen beter te bewegen, sterker te worden en je het beste te laten voelen.	code	src/app/aanbod/AanbodContent.tsx:134	
aanbod.pt.1	/aanbod	personal-training	1	microcopy	01 · Eén-op-één, volledig op maat	code	src/app/aanbod/AanbodContent.tsx:172 (template {i+1} · {subtitle})	
aanbod.pt.2	/aanbod	personal-training	2	h2	Personal Training	code	src/app/aanbod/AanbodContent.tsx:36	
aanbod.pt.3	/aanbod	personal-training	3	body	De meest effectieve manier om je doelen te bereiken. Elke sessie is volledig afgestemd op jouw lichaam, niveau en ambities. Marlon begeleidt je door elke beweging met volle aandacht.	code	src/app/aanbod/AanbodContent.tsx:38-39	
aanbod.pt.4	/aanbod	personal-training	4	label	Voor wie	code	src/app/aanbod/AanbodContent.tsx:183	
aanbod.pt.5	/aanbod	personal-training	5	body	Voor iedereen die maximaal resultaat wil met persoonlijke begeleiding.	code	src/app/aanbod/AanbodContent.tsx:40	
aanbod.pt.6	/aanbod	personal-training	6	label	Wat kun je verwachten	code	src/app/aanbod/AanbodContent.tsx:190-192	
aanbod.pt.7	/aanbod	personal-training	7	body	Intake en assessment van je huidige niveau	code	src/app/aanbod/AanbodContent.tsx:42	
aanbod.pt.8	/aanbod	personal-training	8	body	Gepersonaliseerd trainingsschema	code	src/app/aanbod/AanbodContent.tsx:43	
aanbod.pt.9	/aanbod	personal-training	9	body	Continue begeleiding en bijsturing	code	src/app/aanbod/AanbodContent.tsx:44	
aanbod.pt.10	/aanbod	personal-training	10	body	Voedingsadvies op maat	code	src/app/aanbod/AanbodContent.tsx:45	
aanbod.pt.11	/aanbod	personal-training	11	label	Frequentie	code	src/app/aanbod/AanbodContent.tsx:211	
aanbod.pt.12	/aanbod	personal-training	12	body	1-4x per week, flexibel in te plannen	code	src/app/aanbod/AanbodContent.tsx:47	
aanbod.pt.13	/aanbod	personal-training	13	cta	Probeer het zelf	code	src/app/aanbod/AanbodContent.tsx:217	
aanbod.pt.14	/aanbod	personal-training	14	alt	Personal Training — The Movement Club	code	src/app/aanbod/AanbodContent.tsx:153	
aanbod.sg.1	/aanbod	small-group	1	microcopy	02 · Maximaal 6 personen	code	src/app/aanbod/AanbodContent.tsx:172	
aanbod.sg.2	/aanbod	small-group	2	h2	Small Group Training	code	src/app/aanbod/AanbodContent.tsx:51	
aanbod.sg.3	/aanbod	small-group	3	body	De energie van samen trainen, met de aandacht van personal training. In groepen van maximaal 6 personen garanderen we dat iedereen gezien wordt en de juiste techniek hanteert.	code	src/app/aanbod/AanbodContent.tsx:53-54	
aanbod.sg.4	/aanbod	small-group	4	body	Voor wie de balans zoekt tussen persoonlijke aandacht en groepsdynamiek.	code	src/app/aanbod/AanbodContent.tsx:55	
aanbod.sg.5	/aanbod	small-group	5	body	Gevarieerde workouts die uitdagen	code	src/app/aanbod/AanbodContent.tsx:57	
aanbod.sg.6	/aanbod	small-group	6	body	Persoonlijke correcties en aanpassingen	code	src/app/aanbod/AanbodContent.tsx:58	
aanbod.sg.7	/aanbod	small-group	7	body	Vaste trainingstijden voor routine	code	src/app/aanbod/AanbodContent.tsx:59	
aanbod.sg.8	/aanbod	small-group	8	body	Motivatie van een hechte groep	code	src/app/aanbod/AanbodContent.tsx:60	
aanbod.sg.9	/aanbod	small-group	9	body	Vaste momenten door de week, ochtend en avond	code	src/app/aanbod/AanbodContent.tsx:62	
aanbod.sg.10	/aanbod	small-group	10	alt	Small Group Training — The Movement Club	code	src/app/aanbod/AanbodContent.tsx:153	
aanbod.mob.1	/aanbod	mobility	1	microcopy	03 · Het fundament van goed bewegen	code	src/app/aanbod/AanbodContent.tsx:172	
aanbod.mob.2	/aanbod	mobility	2	h2	Mobility Sessions	code	src/app/aanbod/AanbodContent.tsx:66	
aanbod.mob.3	/aanbod	mobility	3	body	Mobility is geen nice-to-have, het is de basis. In deze sessies werken we gericht aan je beweeglijkheid, flexibiliteit en lichaamsbewustzijn. Ideaal als aanvulling op je training of als zelfstandig traject.	code	src/app/aanbod/AanbodContent.tsx:68-69	
aanbod.mob.4	/aanbod	mobility	4	body	Voor iedereen met stijfheid, blessure-gevoeligheid of zittend werk.	code	src/app/aanbod/AanbodContent.tsx:70	
aanbod.mob.5	/aanbod	mobility	5	body	Gerichte mobiliteitsroutines	code	src/app/aanbod/AanbodContent.tsx:72	
aanbod.mob.6	/aanbod	mobility	6	body	Myofasciale release technieken	code	src/app/aanbod/AanbodContent.tsx:73	
aanbod.mob.7	/aanbod	mobility	7	body	Ademhalingswerk	code	src/app/aanbod/AanbodContent.tsx:74	
aanbod.mob.8	/aanbod	mobility	8	body	Bewegingsscreenings	code	src/app/aanbod/AanbodContent.tsx:75	
aanbod.mob.9	/aanbod	mobility	9	body	1-2x per week, los of als aanvulling	code	src/app/aanbod/AanbodContent.tsx:77	
aanbod.mob.10	/aanbod	mobility	10	alt	Mobility Sessions — The Movement Club	code	src/app/aanbod/AanbodContent.tsx:153	
aanbod.str.1	/aanbod	strength	1	microcopy	04 · Gestructureerd sterker worden	code	src/app/aanbod/AanbodContent.tsx:172	
aanbod.str.2	/aanbod	strength	2	h2	Strength Programs	code	src/app/aanbod/AanbodContent.tsx:81	
aanbod.str.3	/aanbod	strength	3	body	Een doordacht krachtprogramma dat periodisatie, progressieve overload en herstelbeheer combineert. Geen random workouts, maar een plan dat je meetbaar sterker maakt, week na week.	code	src/app/aanbod/AanbodContent.tsx:83-84	
aanbod.str.4	/aanbod	strength	4	body	Voor gevorderden die structuur en progressie zoeken in hun krachttraining.	code	src/app/aanbod/AanbodContent.tsx:85	
aanbod.str.5	/aanbod	strength	5	body	Periodisatie-schema op maat	code	src/app/aanbod/AanbodContent.tsx:87	
aanbod.str.6	/aanbod	strength	6	body	Progressieve overload tracking	code	src/app/aanbod/AanbodContent.tsx:88	
